gX,gY,gZ
-56,24,-177
-76,17,-178
-76,17,-178
-76,17,-178
-76,17,-178
-76,17,-178
-76,17,-178
-76,17,-178
-76,0,-163
-103,0,-163
-103,0,-163
-103,0,-163
-103,0,-163
-103,0,-163
-103,0,-163
-103,0,-163
-129,-18,-137
-129,-18,-137
-129,-18,-137
-129,-18,-137
-129,-18,-137
-129,-18,-137
-129,-18,-137
-148,-34,-107
-148,-34,-107
-148,-34,-107
-148,-34,-107
-148,-34,-107
-148,-34,-107
-148,-34,-107
-157,-44,-87
-157,-44,-87
-157,-44,-87
-157,-44,-87
-157,-44,-87
-157,-44,-87
-157,-44,-87
-157,-44,-85
-155,-44,-85
-155,-44,-85
-155,-44,-85
-155,-44,-85
-155,-44,-85
-155,-44,-85
-155,-44,-85
-143,-40,-94
-143,-40,-94
-143,-40,-94
-143,-40,-94
-143,-40,-94
-143,-40,-94
-143,-40,-94
-127,-34,-99
-127,-34,-99
-127,-34,-99
-127,-34,-99
-127,-34,-99
-127,-34,-99
-127,-34,-99
-127,-34,-99
-112,-25,-93
-112,-25,-93
-112,-25,-93
-112,-25,-93
-112,-25,-93
-112,-25,-93
-112,-25,-93
-102,-17,-82
-102,-17,-82
-102,-17,-82
-102,-17,-82
-102,-17,-82
-102,-17,-82
-102,-17,-82
-104,-12,-75
-104,-12,-75
-104,-12,-75
-104,-12,-75
-104,-12,-75
-104,-12,-75
-104,-12,-75
-104,-12,-75
-114,-8,-61
-114,-8,-61
-114,-8,-61
-114,-8,-61
-114,-8,-61
-114,-8,-61
-114,-8,-61
-114,-8,-38
-129,-3,-38
-129,-3,-38
-129,-3,-38
-129,-3,-38
-129,-3,-38
-129,-3,-38
-129,-3,-38
-147,6,-15
-147,6,-15
-147,6,-15
-147,6,-15
-147,6,-15
-147,6,-15
-147,6,-15
-147,6,-15
-147,6,-2
-161,15,0
-161,15,0
-161,15,0
-161,15,0
-161,15,0
-161,15,0
-161,15,0
-161,15,0
-161,15,11
-169,13,11
-169,13,11
-169,13,11
-169,13,11
-169,13,11
-169,13,11
-169,13,11
-169,13,11
-171,3,23
-171,3,23
-171,3,23
-171,3,23
-171,3,23
-171,3,23
-171,3,23
-171,3,23
-171,3,23
-170,-7,30
-170,-7,30
-170,-7,30
-170,-7,30
-170,-7,30
-170,-7,30
-170,-7,30
-170,-7,30
-167,-12,34
-167,-12,34
-167,-12,34
-167,-12,34
-167,-12,34
-167,-12,34
-167,-12,34
-167,-12,34
-165,-12,34
-165,-12,34
-165,-12,34
-165,-12,34
-165,-12,34
-165,-12,34
-165,-12,34
-165,-12,34
-163,-12,36
-163,-12,36
-163,-12,36
-163,-12,36
-163,-12,36
-163,-12,36
-163,-12,36
-163,-12,36
-160,-10,46
-160,-10,46
-160,-10,46
-160,-10,46
-160,-10,46
-160,-10,46
-160,-10,46
-160,-10,64
-156,-14,64
-156,-14,64
-156,-14,64
-156,-14,64
-156,-14,64
-156,-14,64
-156,-14,64
-156,-24,88
-151,-24,88
-151,-24,88
-151,-24,88
-151,-24,88
-151,-24,88
-151,-24,88
-151,-24,88
-145,-38,109
-145,-38,109
-145,-38,109
-145,-38,109
-145,-38,109
-145,-38,109
-145,-38,109
-145,-38,123
-140,-45,124
-140,-45,124
-140,-45,124
-140,-45,124
-140,-45,124
-140,-45,124
-140,-45,124
-137,-41,133
-137,-41,133
-137,-41,133
-137,-41,133
-137,-41,133
-137,-41,133
-137,-41,133
-129,-40,141
-129,-40,141
-129,-40,141
-129,-40,141
-129,-40,141
-129,-40,141
-129,-40,141
-129,-40,141
-119,-50,145
-119,-50,145
-119,-50,145
-119,-50,145
-119,-50,145
-119,-50,145
-119,-50,145
-108,-60,143
-108,-60,143
-108,-60,143
-108,-60,143
-108,-60,143
-108,-60,143
-108,-60,143
-90,-66,138
-93,-66,138
-93,-66,138
-93,-66,138
-93,-66,138
-93,-66,138
-93,-66,138
-93,-66,138
-73,-70,137
-73,-70,137
-73,-70,137
-73,-70,137
-73,-70,137
-73,-70,137
-73,-70,137
-73,-70,137
-46,-76,138
-46,-76,138
-46,-76,138
-46,-76,138
-46,-76,138
-46,-76,138
-46,-76,138
