gX,gY,gZ
"
230",13,29
"
211",-12,0
"
132",-41,8
"
24",-100,3
"
-34",50,2
"
-153",0,-11
"
-344",-44,-32
"
-248",-57,14
"
142",35,37
"
163",27,27
"
146",9,18
"
104",-17,3
"
48",-8,-3
"
25",-31,-17
"
-18",40,7
"
-188",-16,-30
"
-319",-41,-20
"
-153",-21,-28
"
128",29,50
"
120",19,41
"
124",21,22
"
82",22,-13
"
132",40,-6
"
38",-60,-8
"
-13",46,-3
"
-225",-17,-14
"
-258",-27,-17
"
-136",-95,-58
"
112",18,47
"
194",28,36
"
205",0,10
"
154",-25,-7
"
31",-5,3
"
20",-63,-10
"
-34",14,-19
"
-280",-12,-54
"
-256",-30,-28
"
-69",-34,-3
"
111",-9,31
"
172",12,50
"
153",18,30
"
71",27,11
"
83",20,-16
"
106",22,3
"
46",-76,-10
"
-61",-18,-12
"
-235",-23,-26
"
-294",0,-21
"
-127",-36,-10
"
48",-13,16
"
127",31,39
"
182",46,22
"
171",15,-10
"
170",4,7
"
126",-8,5
"
-36",55,15
"
-47",-3,0
"
-125",-20,4
"
-272",-36,-32
"
-347",-34,-65
"
-129",-39,-7
"
166",26,64
"
214",32,51
"
158",35,3
"
89",30,3
"
120",27,0
"
90",8,11
"
-31",-3,9
"
-16",44,2
"
-145",-4,-14
"
-307",-45,-21
"
-302",-19,-22
"
-179",-43,-39
"
160",19,50
"
237",8,33
"
206",14,33
"
167",-31,1
"
84",-26,7
"
138",-105,-74
"
24",10,8
"
-95",-3,11
"
-274",-27,29
"
-267",-27,2
"
-41",-20,5
"
92",13,2
"
142",28,7
"
176",29,-13
"
152",17,1
"
38",-10,2
"
-1",-13,7
"
-52",19,5
"
-70",-12,-15
"
-226",-13,-38
"
-323",-28,-18
"
-7",2,5
"
164",17,27
"
198",24,37
"
175",-19,22
"
101",-25,11
"
27",-31,-4
"
8",-27,-5
"
-8",-35,0
"
-80",15,-1
"
-229",-4,-6
"
-269",-55,-5
"
-71",-44,0
"
153",42,6
"
216",45,-1
"
180",7,-6
"
101",-19,-5
"
31",-13,3
"
-1",-10,6
"
-2",2,-6
"
-217",-31,7
"
-311",-47,-15
"
-182",-20,-4
"
75",10,-3
"
119",21,20
"
129",35,20
"
152",41,-16
"
143",39,-4
"
54",28,9
"
-33",32,-2
"
-200",-35,3
"
-334",-65,-4
"
-155",-5,10
"
21",19,4
"
185",24,20
"
206",10,2
"
146",12,-8
"
117",8,-1
"
68",-11,-2
"
-32",61,7
"
-166",-20,7
"
-306",-72,7
"
-200",-34,-2
"
54",-8,17
"
116",23,13
"
124",32,20
"
167",43,-21
"
117",30,-26
"
56",3,1
"
43",4,-13
"
-148",-31,36
"
-299",-57,6
"
-267",-31,0
"
-103",-9,10
"
177",30,38
"
227",22,26
"
135",-1,6
"
44",-10,6
"
53",11,-18
"
-25",77,15
"
-146",-4,-15
"
-339",-84,13
"
-212",-48,19
"
57",10,25
"
231",35,13
"
238",30,-18
"
244",13,-33
"
114",24,-6
"
17",-29,-6
"
-37",19,24
"
-127",-16,6
"
-253",-38,-5
"
-284",-49,-23
"
-223",-49,4
"
107",21,17
"
178",52,30
"
167",41,3
"
124",12,-1
"
95",22,3
"
129",13,-9
"
65",1,-8
"
-14",37,-2
"
-171",-11,4
"
-358",-66,-9
"
-263",-49,-28
"
38",36,22
"
170",42,32
"
181",39,16
"
220",23,-5
"
166",27,3
"
70",4,4
"
6",-25,0
"
-32",2,2
"
-143",-15,0
"
-330",-54,-18
"
-198",26,3
"
-117",-40,-42
"
55",-4,2
"
106",33,37
"
236",32,9
"
248",17,-8
"
175",0,-20
"
98",-19,-20
"
7",0,1
"
18",29,16
"
-128",-55,1
"
-373",-58,-8
"
-216",37,13
"
-56",17,-6
"
130",38,28
"
120",0,27
"
198",-12,9
"
120",-12,0
"
114",0,-14
"
73",-1,5
"
58",-18,10
"
-62",23,3
"
-157",-46,-18
"
-182",-49,-19
"
-99",3,5
"
17",7,9
"
65",0,28
"
119",17,20
"
109",26,14
"
49",8,1
"
81",15,-12
"
-22",26,-1
"
-150",-43,-1
"
-325",-95,-37
"
-212",-72,-10
"
116",64,37
"
140",22,27
"
163",14,15
"
111",12,13
"
68",7,8
"
42",-7,-7
"
-7",-5,0
"
-53",19,15
"
-231",-45,-15
"
-351",-74,-32
"
-115",-38,-15
"
155",74,44
"
226",56,29
"
245",16,-16
"
200",-23,-29
"
62",18,-18
"
52",-26,-12
"
-41",52,7
"
-174",-9,-27
"
-355",-93,-36
"
-184",-88,-27
"
13",5,8
"
132",49,34
"
255",66,14
"
210",18,-11
"
97",-2,-2
"
0",23,19
"
-9",37,7
"
-88",-19,-10
"
-296",-60,-11
